soc2010,f1,f2,clust,soc2010_occs,cluster
433031,-.11891352,-1.4019225,1,"Bookkeeping, Accounting, and Auditing Clerks",One
433041,-1.0595211,-.49070621,3,Gaming Cage Workers,Three
433051,-.049231399,-1.6762991,1,Payroll and Timekeeping Clerks,One
433061,-.046880189,-1.078873,1,Procurement Clerks,One
433071,-.63162279,-.81671816,1,Tellers,One
434011,-.12954149,-1.2212515,1,Brokerage Clerks,One
434021,-.2732648,-1.2001464,1,Correspondence Clerks,One
434031,-.34903586,-1.1817294,1,"Court, Municipal, and License Clerks",One
434041,-.050493009,-1.5657873,1,"Credit Authorizers, Checkers, and Clerks",One
434051,.042484999,-1.1335063,1,Customer Service Representatives,One
434061,-.2093083,-1.4620473,1,"Eligibility Interviewers, Government Programs",One
434071,-.23866852,-.5547772,1,File Clerks,One
434081,-.61155403,-.40613666,3,"Hotel, Motel, and Resort Desk Clerks",Three
434111,-.86106747,-.59427452,3,"Interviewers, Except Eligibility and Loan",Three
434121,-.088313319,-.94958258,1,"Library Assistants, Clerical",One
434131,.24471481,-1.3757674,1,Loan Interviewers and Clerks,One
434141,.12694116,-1.3452736,1,New Accounts Clerks,One
434151,.19090451,-.79076445,1,Order Clerks,One
434161,.018023444,-1.2244147,1,"Human Resources Assistants, Except Payroll and Timekeeping",One
434171,-.29094651,-1.195994,1,Receptionists and Information Clerks,One
434181,.023619121,-1.0729285,1,Reservation and Transportation Ticket Agents and Travel Clerks,One
435011,.087511323,-1.2793646,1,Cargo and Freight Agents,One
435021,-1.1906172,-.47956893,3,Couriers and Messengers,Three
435031,.38139302,-1.2627509,1,"Police, Fire, and Ambulance Dispatchers",One
435032,.22045572,-.78581452,1,"Dispatchers, Except Police, Fire, and Ambulance",One
435041,-.70786923,.10706464,3,"Meter Readers, Utilities",Three
435051,-.56931835,-.50640661,3,Postal Service Clerks,Three
435052,-1.6706408,.13792963,3,Postal Service Mail Carriers,Three
435053,-1.4246616,-.069205813,3,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Three
435061,.28321087,-.40158039,1,"Production, Planning, and Expediting Clerks",One
435071,-.55837464,-.65819865,1,"Shipping, Receiving, and Traffic Clerks",One
435081,-1.161158,-.33630377,3,Stock Clerks and Order Fillers,Three
435111,-.46127039,-1.0027446,1,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",One
436011,-.054108508,-.85244781,1,Executive Secretaries and Executive Administrative Assistants,One
436012,-.022978244,-1.4547925,1,Legal Secretaries,One
436013,-.17992172,-1.350226,1,Medical Secretaries,One
436014,-.22340652,-.98710001,1,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",One
439011,1.1678476,-.70326108,1,Computer Operators,One
439021,-.096591353,-1.2355504,1,Data Entry Keyers,One
439022,-.61457008,-.7070322,3,Word Processors and Typists,Three
439031,1.0647633,.18754309,1,Desktop Publishers,One
439041,-.24697778,-1.4225671,1,Insurance Claims and Policy Processing Clerks,One
439051,-1.0632484,-.39305612,3,"Mail Clerks and Mail Machine Operators, Except Postal Service",Three
439061,-.61091483,-.84721261,1,"Office Clerks, General",One
439071,-.068084516,-.38664892,1,"Office Machine Operators, Except Computer",One
439081,-.48921642,-1.2815515,1,Proofreaders and Copy Markers,One
439111,1.7383571,-1.0572728,1,Statistical Assistants,One
451011,.052088819,.5746966,3,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Three
452011,.017101169,-.54649985,1,Agricultural Inspectors,One
452021,-.73712724,.059113316,3,Animal Breeders,Three
452041,-1.9296919,.20860548,3,"Graders and Sorters, Agricultural Products",Three
452091,-1.5792,.23570067,3,Agricultural Equipment Operators,Three
452092,-1.8374768,.21874635,3,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Three
452093,-1.150223,.19297045,3,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Three
453011,-1.3182205,.51416236,3,Fishers and Related Fishing Workers,Three
453021,-1.1102985,.097720273,3,Hunters and Trappers,Three
454011,.26129445,-.073332474,1,Forest and Conservation Workers,One
454021,-1.7298455,.58080423,3,Fallers,Three
454022,-1.4012095,.49127215,3,Logging Equipment Operators,Three
454023,-.62134588,-.58273911,3,Log Graders and Scalers,Three
471011,.48082626,1.7221181,2,First-Line Supervisors of Construction Trades and Extraction Workers,Two
472011,-.32140014,1.4691103,3,Boilermakers,Three
472021,-.68074399,1.4728633,3,Brickmasons and Blockmasons,Three
472022,-1.2594039,1.6844364,3,Stonemasons,Three
472031,-.74148232,1.4161431,3,Carpenters,Three
472041,-1.06081,.96580571,3,Carpet Installers,Three
472042,-1.004198,.32483074,3,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Three
472043,-1.4634616,.11161036,3,Floor Sanders and Finishers,Three
472044,-1.0552156,1.3655041,3,Tile and Marble Setters,Three
472051,-.92057228,.98214012,3,Cement Masons and Concrete Finishers,Three
472053,-1.2257558,.88080972,3,Terrazzo Workers and Finishers,Three
472061,-1.0530688,.94916886,3,Construction Laborers,Three
472071,-.97964144,.95242554,3,"Paving, Surfacing, and Tamping Equipment Operators",Three
472072,-1.1421648,.77544665,3,Pile-Driver Operators,Three
472073,-.7922442,.75291264,3,Operating Engineers and Other Construction Equipment Operators,Three
472081,-1.2448677,1.5168107,3,Drywall and Ceiling Tile Installers,Three
472082,-1.6905167,.31831786,3,Tapers,Three
472111,.024576189,1.222586,3,Electricians,Three
472121,-1.1690332,.79433757,3,Glaziers,Three
472131,-1.3507514,.69270825,3,"Insulation Workers, Floor, Ceiling, and Wall",Three
472132,-1.2361059,1.0206109,3,"Insulation Workers, Mechanical",Three
472141,-1.0384833,.32614142,3,"Painters, Construction and Maintenance",Three
472142,-1.4573442,.72512084,3,Paperhangers,Three
472151,-1.1442733,.99414331,3,Pipelayers,Three
472152,-.60750544,1.6925844,3,"Plumbers, Pipefitters, and Steamfitters",Three
472161,-.96597558,.4798511,3,Plasterers and Stucco Masons,Three
472171,-1.1167424,1.3232789,3,Reinforcing Iron and Rebar Workers,Three
472181,-.91555732,.80565965,3,Roofers,Three
472211,-.51672298,1.8905464,3,Sheet Metal Workers,Three
472221,-1.0101324,1.3670744,3,Structural Iron and Steel Workers,Three
472231,-.24349916,1.4295403,3,Solar Photovoltaic Installers,Three
473011,-1.0411283,1.0890629,3,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Three
473012,-.96987075,1.1912546,3,Helpers--Carpenters,Three
473013,-1.1635907,.69939029,3,Helpers--Electricians,Three
473014,-1.7056549,.25618446,3,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Three
473015,-1.1354702,.8645876,3,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Three
473016,-.68542773,.45733458,3,Helpers--Roofers,Three
474011,.37037948,.79610771,3,Construction and Building Inspectors,Three
474021,.25113875,1.5643054,2,Elevator Installers and Repairers,Two
474031,-1.1933644,.95943522,3,Fence Erectors,Three
474041,-.45590568,.36598438,3,Hazardous Materials Removal Workers,Three
474051,-.8161552,.51371121,3,Highway Maintenance Workers,Three
474061,-.64565486,.92695737,3,Rail-Track Laying and Maintenance Equipment Operators,Three
474071,-.78236878,.56838089,3,Septic Tank Servicers and Sewer Pipe Cleaners,Three
474091,-.91874707,.82928294,3,Segmental Pavers,Three
