soc2010,f1,f2,clust,soc2010_occs,cluster
533011,-1.0166807,-.063624077,3,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Three
533021,-1.0787622,-.046680886,3,"Bus Drivers, Transit and Intercity ",Three
533022,-1.619718,.01669164,3,"Bus Drivers, School or Special Client ",Three
533031,-1.3104343,-.11713844,3,Driver/Sales Workers,Three
533032,-.74799752,-.0045701419,3,Heavy and Tractor-Trailer Truck Drivers,Three
533033,-1.125968,-.24714184,3,Light Truck or Delivery Services Drivers,Three
533041,-1.1668981,-.21519834,3,Taxi Drivers and Chauffeurs,Three
534011,-.60467398,-.49793297,3,Locomotive Engineers,Three
534012,-1.0469254,-.34791473,3,Locomotive Firers,Three
534013,-1.0772607,.1833387,3,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Three
